HOST,seq_num,is_image,add_orderid,add_side,add_price,add_qty,add_position,update_orderid,update_side,update_price,update_qty,update_position,delete_orderid,delete_side,trade_orderid,trade_side,trade_qty,trade_price
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7182073449430172090,BUY,0.26,15000,70,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7182073449430824036,BUY,0.25,30000,124,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7181677625243921586,BUY,0.23500000000000001,30000,164,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178906855941982977,BUY,0.25,350000,111,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178906855942039142,BUY,0.25,150000,113,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7185824983104738290,BUY,0.27,50700,17,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178906855942314285,BUY,0.25,80000,115,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178906855942374733,BUY,0.25,40000,116,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7178511031755523694,BUY,0.22,50000,193,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7179302680127391161,BUY,0.25,50000,117,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7177500580569462171,BUY,0.225,500000,182,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7180885976871386390,BUY,0.25,100000,118,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7185824983103355071,BUY,0.23,1000000,178,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407775468,true,7181677625243859232,BUY,0.25,100000,122,,BUY,,,,,BUY,,BUY,,
